access,acquisition_method,best_use,comparator_record_type,data_fit,domain,next_action,priority,public_display_guidance,region,source_file,source_id,source_name,source_package,source_type,url,vendor_positive_required_fields
Public classification browser/download options vary,manual_review,"Procurement classification for tools, fasteners, hardware, building maintenance and property supplies.",classification,procurement_classification,tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,UNSPSC,UNSPSC commodity classification,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,global_commodity_classification,https://www.unspsc.org/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Commercial account/login required,account_api_or_commercial_feed,"Professional repair-shop ordering, VIN scanning, in-stock parts and same-day delivery workflow.",offer_or_catalog,commercial_parts_offer_source,auto_parts_fitment,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,NAPA_PROLINK,NAPA PROLink,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,commercial_repair_shop_parts_catalog,https://www.napaprolink.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website; regional store/pricing may vary,public_site_catalog_parse,"Current NAPA aftermarket parts catalog, categories, brand/part info and local availability.",offer_or_catalog,current_public_offer_reference,auto_parts_fitment,seed_category_urls_then_extract_jsonld_or_product_cards,2,show structured facts and source/vendor links; do not clone page layout,US/Canada,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,NAPA_PUBLIC_CATALOG,NAPA Auto Parts public catalog,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,public_auto_parts_retail_catalog,https://www.napaonline.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public API,direct_download_or_public_api,Vehicle/part safety evidence and recalls context.,evidence,safety_evidence,auto_parts_fitment,download_bulk_file_or_call_public_api,2,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,NHTSA_RECALLS,NHTSA recalls API,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,vehicle_recall_safety_api,https://www.nhtsa.gov/nhtsa-datasets-and-apis,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website,public_site_catalog_parse,Search by part number/manufacturer/part group/type; useful for part identity cross-checking.,source,part_identity_reference,auto_parts_fitment,seed_category_urls_then_extract_jsonld_or_product_cards,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,ROCKAUTO_PART_SEARCH,RockAuto part number search,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,public_auto_parts_part_search,https://www.rockauto.com/en/partsearch/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website; no official bulk API found,direct_download_or_public_api,Very broad year/make/model/engine public parts reference and current retail offers.,offer_or_catalog,current_public_offer_reference,auto_parts_fitment,download_bulk_file_or_call_public_api,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,ROCKAUTO_PUBLIC_CATALOG,RockAuto public parts catalog,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,public_auto_parts_retail_catalog,https://www.rockauto.com/en/catalog/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Commercial platform/contact required,account_api_or_commercial_feed,"ACES/PIES catalog creation, mapping, updating, e-commerce and fitment lookup platform.",offer_or_catalog,commercial_catalog_platform,auto_parts_fitment,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,SHOWMETHEPARTS,ShowMeTheParts,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,auto_parts_catalog_fitment_platform,https://info.showmetheparts.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Commercial/API access required,account_api_or_commercial_feed,"Year/make/model, VIN, license-plate and detailed part-fitment searches where available.",offer_or_catalog,commercial_fitment_api,auto_parts_fitment,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,SHOWMETHEPARTS_API,ShowMeTheParts API,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,commercial_auto_parts_fitment_api,https://info.showmetheparts.com/utilize-showmetheparts-api-for-detailed-searches-beyond-year-make-model/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public search/download options,manual_review,"Canadian recall/safety evidence for vehicles, tires and child seats.",evidence,safety_evidence,auto_parts_fitment,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,TRANSPORT_CANADA_RECALLS,Transport Canada vehicle recalls,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,vehicle_recall_safety_dataset,https://tc.canada.ca/en/road-transportation/defects-recalls-vehicles-tires-child-car-seats,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public search,manual_review,"Wireless/RF device certification evidence, photos, filings and authorization records.",evidence,regulatory_evidence,computer_it_communications,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,FCC_EQUIPMENT_AUTHORIZATION,FCC Equipment Authorization Search,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,wireless_rf_device_certification_database,https://www.fcc.gov/oet/ea/fccid,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public CSV/JSON/XML/RDF downloads via data.gov,direct_download_or_public_api,Manufacturer/grantee lookup for FCC IDs and device evidence linkage.,source,regulatory_lookup,computer_it_communications,download_bulk_file_or_call_public_api,2,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,FCC_GRANTEE_REGISTRATIONS,FCC EAS Equipment Authorization Grantee Registrations,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,downloadable_government_dataset,https://catalog.data.gov/dataset/eas-equipment-authorization-grantee-registrations,vendor_name;source_url;retrieved_date;purchase_or_source_link
Reseller/developer access required,account_api_or_commercial_feed,Search products by SKU or criteria; find price and availability for SKUs.,offer_or_catalog,live_distributor_offer_source,computer_it_communications,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,INGRAM_MICRO_CATALOG_API,Ingram Micro Product Catalog API,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,it_distributor_catalog_api,https://developer.ingrammicro.com/reseller/api-documentation/United_States,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public searchable/downloadable resources,manual_review,Detailed specs and comparisons for Lenovo PCs and accessories.,technical_spec,manufacturer_spec_reference,computer_it_communications,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,LENOVO_PSREF,Lenovo PSREF Product Specifications Reference,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,manufacturer_product_spec_reference,https://psref.lenovo.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public web search,manual_review,Support and servicing timelines for Microsoft commercial products and services.,evidence,lifecycle_evidence,computer_it_communications,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,MICROSOFT_PRODUCT_LIFECYCLE,Microsoft Product Lifecycle Search,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,software_lifecycle_reference,https://learn.microsoft.com/en-us/lifecycle/products/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Partner/developer access required,account_api_or_commercial_feed,"Product APIs for product details, features, capabilities, pricing and more.",offer_or_catalog,live_distributor_offer_source,computer_it_communications,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,TD_SYNNEX_ION_API,TD SYNNEX StreamOne Ion Catalog API,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,it_distributor_catalog_api,https://www.tdsynnex.com/ion/v3api/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public/free catalogs and downloads,manual_review,"Commercial furnishings, fixtures, cabinets, architectural interiors, furniture systems and specification catalogues.",offer_or_catalog,catalog_spec_reference,furnishings_furniture,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,ARCAT_FURNITURE_CATALOGS,ARCAT building/furnishings product catalogs,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,manufacturer_catalog_directory,https://www.arcat.com/content-type/catalog,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public reference; standards may be paid,manual_review,"Office/institutional furniture standards context, safety, durability and sustainability evidence.",source,standards_reference,furnishings_furniture,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,North America/global,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,BIFMA_HOME,BIFMA standards and association,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,furniture_standards_reference,https://www.bifma.org/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Open-source client; depends on IKEA endpoints/terms,manual_review,Investigate IKEA search/product endpoints for controlled lookup experiments.,offer_or_catalog,candidate_api_connector,furnishings_furniture,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,IKEA_API_CLIENT_GITHUB,Community IKEA API client,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,unofficial_api_client,https://github.com/vrslev/ikea-api-client,vendor_name;source_url;retrieved_date;purchase_or_source_link
Commercial API,account_api_or_commercial_feed,"Real-time authorization-aware furniture, mattress and appliance product data across many brands.",offer_or_catalog,commercial_live_product_feed,furnishings_furniture,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada likely,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,SKULYTICS_FURNITURE,Skulytics furniture/mattress/appliance product data API,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,commercial_product_data_api,https://skulytics.io/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public directory,manual_review,"Commercial furniture, casework, interior specialties, fixtures and manufacturer specification pages.",offer_or_catalog,catalog_spec_reference,furnishings_furniture,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,SWEETS_FURNISHINGS,Sweets construction/furnishings product directory,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,building_product_directory,https://sweets.construction.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Developer/partner access,account_api_or_commercial_feed,Wayfair catalog/product/3D API research path.,source,access_path,furnishings_furniture,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/global,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,WAYFAIR_DEVELOPER,Wayfair Developer,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,developer_portal,https://developer.wayfair.io/posts/introduction,vendor_name;source_url;retrieved_date;purchase_or_source_link
Open-source GitHub tooling; API key required,direct_download_or_public_api,Bulk download tooling and documentation repository for Best Buy catalog API.,offer_or_catalog,bulk_catalog_tooling,housewares_kitchen_appliances_clothing,download_bulk_file_or_call_public_api,2,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,BEST_BUY_BULK_CLI,Best Buy API CLI / bulk download tooling,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,retailer_api_tooling,https://github.com/bestbuyapis,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public Hugging Face dataset,manual_review,Fashion product images and metadata mirrored on Hugging Face; useful for offline classification tests.,offer_or_catalog,fashion_catalog_dataset,housewares_kitchen_appliances_clothing,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,HUGGINGFACE_FASHION_PRODUCT_IMAGES_SMALL,Hugging Face Fashion Product Images Small,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,fashion_dataset,https://huggingface.co/datasets/ashraq/fashion-product-images-small,vendor_name;source_url;retrieved_date;purchase_or_source_link
Kaggle dataset/account terms apply,manual_review,"Larger clothing/accessory/fashion product dataset with category labels, descriptions and images.",offer_or_catalog,fashion_catalog_dataset,housewares_kitchen_appliances_clothing,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,PARAM_AGGARWAL_FASHION_FULL,Fashion Product Images Dataset,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,fashion_dataset,https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-dataset,vendor_name;source_url;retrieved_date;purchase_or_source_link
Kaggle dataset/account terms apply,manual_review,"Fashion catalogue image/spec dataset using styles.csv with product IDs, categories and images.",offer_or_catalog,fashion_catalog_dataset,housewares_kitchen_appliances_clothing,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,PARAM_AGGARWAL_FASHION_SMALL,Fashion Product Images Small,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,fashion_dataset,https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small,vendor_name;source_url;retrieved_date;purchase_or_source_link
GS1 Canada membership/API access required,account_api_or_commercial_feed,"Canadian product listing data, images and product-content access via ECCnet Content API.",offer_or_catalog,product_registry_api,housewares_kitchen_appliances_clothing;office_supplies_low_cost_general;furnishings_furniture,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,GS1_CA_ECCNET,GS1 Canada ECCnet Registry / Content API,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip;Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip;Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,canadian_product_registry_api,https://gs1ca.org/content-access/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public/free catalog and BIM downloads,manual_review,"Manufacturer catalogs, specs, CAD/BIM details and construction product categories.",offer_or_catalog,catalog_spec_conversion,housing_construction_materials,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,ARCAT_CATALOGS,ARCAT Building Product Catalogs,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,manufacturer_catalog_directory,https://www.arcat.com/content-type/catalog,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public PDF,pdf_or_catalog_parse,"Canadian supplier/product program rules, made-in-Canada fields and quality expectations.",offer_or_catalog,template_process,housing_construction_materials,download_pdf_or_catalog_pages_then_extract_tables,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,HOME_HARDWARE_SUPPLIER_GUIDE,Home Hardware Supplier Guide,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,supplier_policy_catalog_guidelines,https://homehardware.sirv.com/supplier-guide/HHSL%20Supplier%20Guide%20Version%203.1.pdf,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public searchable reports,manual_review,Evaluation evidence for code officials and approved building products.,evidence,evidence,housing_construction_materials,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US/international,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,ICC_ES_REPORTS,ICC-ES Reports Directory,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,code_compliance_reports,https://icc-es.org/reports-directory/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Sign up for API key,account_api_or_commercial_feed,Developer/API access for Lowe's product and operations APIs.,source,access_path,housing_construction_materials,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,LOWES_API_PORTAL,Lowe's API Portal,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,developer_portal,https://portal.apim.lowes.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Developer portal/API key likely required,account_api_or_commercial_feed,"Current products, prices, promotions, inventory and localized product info.",offer_or_catalog,live_offer_source,housing_construction_materials,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,LOWES_PRODUCT_CATALOG_API,Lowe's Product Catalog API,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,retailer_product_api,https://developer.lowes.com/portal/business-components/Product%20Catalog/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public PDF,pdf_or_catalog_parse,RONA product onboarding workflow and advanced catalog expectations.,offer_or_catalog,template_process,housing_construction_materials,download_pdf_or_catalog_pages_then_extract_tables,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,RONA_DROPSHIP_GUIDE,RONA Dropship Operational Guide,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,supplier_catalog_onboarding_guide,https://vendors.rona.ca/media/unnlaaso/rona-dropship-operational-guide.pdf,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public docs + supplier login,account_api_or_commercial_feed,"RONA product-content fields, photo rules, dropship vendor expectations and onboarding data requirements.",source,template_design,housing_construction_materials,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,RONA_SUPPLIER_DOCUMENTATION,RONA Product Supplier Documentation,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,supplier_guidelines,https://vendors.rona.ca/product-supplier/documentation,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public directory,manual_review,"Manufacturer product pages, CAD details, BIM objects, specs and green product info.",offer_or_catalog,catalog_spec_reference,housing_construction_materials,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,SWEETS,Sweets Construction Product Directory,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,building_product_directory,https://sweets.construction.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Free account/login usually required,account_api_or_commercial_feed,UL-certified product evidence and safety/compliance lookups.,evidence,certification,housing_construction_materials,request_api_key_account_or_feed_access,2,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/housing_construction_materials/normalized/construction_product_source_catalog.json,UL_PRODUCT_IQ,UL Product iQ,Housing_Construction_Product_Data_Sources_GitHub_Import_v0_1.zip,certification_database,https://productiq.ulprospector.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public marketplace; product availability depends on local store/market,manual_review,Current local Dollarama delivery catalogue rows where available.,offer_or_catalog,marketplace_offer_reference,office_supplies_low_cost_general,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/office_supplies_low_cost_general/normalized/office_supplies_low_cost_general_source_catalog.json,DOLLARAMA_INSTACART,Dollarama on Instacart Canada,Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip,delivery_marketplace_catalog,https://www.instacart.ca/store/dollarama/storefront,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website; product browsing limited/variable,public_site_catalog_parse,"Low-cost general merchandise, seasonal items, household goods, party, craft, food/snacks, cleaning and small office supplies.",offer_or_catalog,current_public_offer_reference,office_supplies_low_cost_general,seed_category_urls_then_extract_jsonld_or_product_cards,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/office_supplies_low_cost_general/normalized/office_supplies_low_cost_general_source_catalog.json,DOLLARAMA_PUBLIC_SITE,Dollarama public website,Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip,retailer_public_site,https://www.dollarama.com/en-ca/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Free business account; catalog/integration features vary,manual_review,"Business office supplies, procurement controls and product catalogue access.",offer_or_catalog,current_business_catalog,office_supplies_low_cost_general,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,US/North America,Comparator-definitions/data-sources/office_supplies_low_cost_general/normalized/office_supplies_low_cost_general_source_catalog.json,STAPLES_ADVANTAGE,Staples Business Advantage / Staples Business,Office_Supplies_Low_Cost_General_Data_Sources_GitHub_Import_v0_1.zip,business_retail_catalog,https://www.staplesadvantage.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
GS1 Canada access required,manual_review,High-quality bilingual standardized product images for retail and online use.,evidence,product_image_evidence,product_identity_barcode_classification,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,GS1_CA_MARKETING_CONTENT,GS1 Canada ECCnet Marketing Content,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,canadian_product_image_content,https://gs1ca.org/marketing-content/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Open data/API,direct_download_or_public_api,Cosmetics and personal-care product identity and ingredient data.,source,open_product_identity_records,product_identity_barcode_classification,download_bulk_file_or_call_public_api,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,OPEN_BEAUTY_FACTS,Open Beauty Facts,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip,open_cosmetics_personal_care_database,https://world.openbeautyfacts.org/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Open data/API; coverage uneven,direct_download_or_public_api,Experimental open barcode/product source for non-food general merchandise.,source,open_product_identity_records,product_identity_barcode_classification;furnishings_furniture,download_bulk_file_or_call_public_api,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/product_identity_barcode_classification/normalized/product_identity_source_catalog.json,OPEN_PRODUCTS_FACTS,Open Products Facts,Product_Identity_Barcode_Classification_Data_Sources_GitHub_Import_v0_1.zip;Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,open_non_food_product_database,https://world.openproductsfacts.org/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public PDF catalog aggregation,pdf_or_catalog_parse,Accuride model-specific slide technical specifications and application notes.,offer_or_catalog,manufacturer_spec_reference,tools_fasteners_hardware_property_cabinet,download_pdf_or_catalog_pages_then_extract_tables,2,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,ACCURIDE_DIRECTINDUSTRY_PDF,Accuride technical PDF catalog pages,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,drawer_slide_technical_catalog,https://pdf.directindustry.com/pdf/accuride/2601/26400-756277.html,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public site,public_site_catalog_parse,"Lift, hinge, pull-out and pocket systems for furniture/cabinet makers and hardware distributors.",source,manufacturer_product_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,BLUM_CANADA,Blum Canada public site,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,manufacturer_product_site,https://www.blum.com/ca/en/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public catalogue/site; account/branch context may affect offer,public_site_catalog_parse,"Fasteners, fittings, valves, clamps, hose, material handling, bins, storage and Red Deer branch context.",offer_or_catalog,current_public_offer_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,2,show structured facts and source/vendor links; do not clone page layout,Canada/Western Canada,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,BOLT_SUPPLY_HOUSE,Bolt Supply House,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,canadian_fastener_industrial_catalog,https://www.boltsupply.com/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public location page,manual_review,Local branch evidence for Red Deer property/industrial fastener sourcing.,source,local_supplier_reference,tools_fasteners_hardware_property_cabinet,open_source_review_then_assign_connector_type,2,show structured facts and source/vendor links; do not clone page layout,"Red Deer, Alberta",Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,BOLT_SUPPLY_RED_DEER,Bolt Supply House Red Deer location,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,local_supplier_branch,https://www.boltsupply.com/locations/red-deer,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public site; pricing/stock store-dependent,public_site_catalog_parse,"Tools, hardware, automotive, home, seasonal, property maintenance and general merchandise offer reference.",offer_or_catalog,current_public_offer_reference,tools_fasteners_hardware_property_cabinet,seed_category_urls_then_extract_jsonld_or_product_cards,2,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/tools_fasteners_hardware_property_cabinet/normalized/tools_fasteners_hardware_property_cabinet_source_catalog.json,CANADIAN_TIRE_PUBLIC_SITE,Canadian Tire public catalogue,Tools_Fasteners_Hardware_Property_Cabinet_Data_Sources_GitHub_Import_v0_1.zip,retailer_public_catalog,https://www.canadiantire.ca/,vendor_name;source_url;retrieved_date;purchase_or_source_link
